cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,temperature
53,6.75000000000000044e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.96500000000000114e+02
54,7.25000000000000089e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.95500000000000171e+02
55,7.75000000000000022e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.94500000000000114e+02
56,8.25000000000000067e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.93500000000000171e+02
57,8.75000000000000000e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.92500000000000227e+02
58,9.25000000000000044e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.91500000000000171e+02
59,9.75000000000000089e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.90500000000000057e+02
60,2.50000000000000014e-02,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.09500000000000000e+02
61,7.50000000000000111e-02,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.08499999999999943e+02
62,1.25000000000000000e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.07500000000000000e+02
63,1.75000000000000017e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.06500000000000000e+02
64,2.25000000000000006e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.05499999999999943e+02
65,2.75000000000000022e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.04499999999999943e+02
66,3.25000000000000011e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.03499999999999829e+02
67,3.75000000000000000e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.02499999999999773e+02
68,4.25000000000000044e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.01499999999999773e+02
69,4.75000000000000033e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.00499999999999886e+02
70,5.25000000000000022e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.99499999999999829e+02
71,5.75000000000000067e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.98500000000000000e+02
72,6.25000000000000000e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.97500000000000057e+02
73,6.75000000000000044e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.96500000000000171e+02
74,7.25000000000000089e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.95500000000000171e+02
75,7.75000000000000022e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.94500000000000171e+02
76,8.25000000000000067e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.93500000000000171e+02
77,8.75000000000000000e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.92500000000000227e+02
78,9.25000000000000044e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.91500000000000227e+02
79,9.75000000000000089e-01,1.75000000000000017e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.90500000000000114e+02
80,2.50000000000000014e-02,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.09500000000000000e+02
81,7.50000000000000111e-02,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.08499999999999943e+02
82,1.25000000000000000e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.07499999999999943e+02
83,1.75000000000000017e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.06499999999999943e+02
84,2.25000000000000006e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.05499999999999943e+02
85,2.75000000000000022e-01,2.25000000000000006e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.04499999999999943e+02
